Date,Open,High,Low,Close,Volume,Open Int
2021-03-23,13069.0,13172.0,12979.0,13006.25,604250,0
2021-03-24,13050.25,13145.25,12784.0,12794.0,626538,0
2021-03-25,12803.0,12859.5,12609.75,12770.5,745797,0
2021-03-26,12799.75,12988.5,12676.25,12966.75,622214,0
2021-03-29,12975.75,13003.0,12807.5,12944.5,574193,0
2021-03-30,12975.0,12984.0,12776.5,12878.25,516408,0
2021-03-31,12894.75,13158.0,12858.25,13089.75,478398,0
2021-04-01,13094.5,13332.5,13090.25,13316.0,436489,0
2021-04-05,13339.0,13615.0,13304.25,13585.5,356725,0
2021-04-06,13603.75,13655.0,13524.25,13570.0,457218,0
2021-04-07,13580.5,13641.0,13512.5,13604.75,434828,0
2021-04-08,13620.75,13789.75,13615.5,13747.75,435060,0
2021-04-09,13786.5,13841.75,13648.25,13829.5,494768,0
2021-04-12,13817.75,13832.25,13732.0,13808.75,453968,0
2021-04-13,13825.0,13994.0,13772.75,13975.75,485938,0
2021-04-14,13977.75,14029.0,13772.75,13798.75,662204,0
2021-04-15,13827.0,14034.25,13789.25,14014.0,524814,0
2021-04-16,14002.0,14059.5,13952.75,14029.5,500612,0
2021-04-19,13989.0,14052.25,13821.0,13897.25,613719,0
2021-04-20,13900.0,13933.75,13719.25,13794.25,606019,0
2021-04-21,13740.0,13926.5,13700.5,13919.25,510093,0
2021-04-22,13896.5,13944.75,13701.75,13750.25,623942,0
2021-04-23,13757.0,13981.0,13737.0,13927.0,450885,0
2021-04-26,13919.75,14039.25,13865.5,14011.5,403664,0
2021-04-27,14024.75,14050.0,13912.5,13953.0,412801,0
2021-04-28,13955.5,13993.5,13878.0,13892.25,501596,0
2021-04-29,13973.5,14064.0,13818.5,13953.5,595555,0
2021-04-30,13948.25,13956.75,13819.75,13850.0,555237,0
2021-05-03,13880.25,13947.5,13772.0,13790.0,473913,0
2021-05-04,13785.0,13792.5,13380.75,13536.0,667316,0
2021-05-05,13525.75,13665.5,13462.75,13491.0,520694,0
2021-05-06,13484.0,13611.5,13388.75,13597.75,567452,0
2021-05-07,13614.5,13818.0,13588.25,13709.75,550632,0
2021-05-10,13718.0,13752.0,13305.5,13356.75,603725,0
2021-05-11,13316.5,13375.75,13065.25,13346.0,787639,0
2021-05-12,13321.25,13351.75,12959.75,12998.5,760916,0
2021-05-13,12968.75,13223.75,12915.0,13100.25,727348,0
2021-05-14,13095.0,13426.25,13071.0,13387.0,468758,0
2021-05-17,13380.25,13448.5,13182.75,13303.5,488299,0
2021-05-18,13308.5,13432.25,13178.5,13212.0,442088,0
2021-05-19,13182.0,13243.0,12954.25,13233.5,669351,0
2021-05-20,13220.5,13522.75,13150.75,13486.5,465782,0
2021-05-21,13492.5,13570.0,13395.75,13405.0,457735,0
2021-05-24,13383.25,13686.0,13356.5,13635.25,368611,0
2021-05-25,13656.5,13738.75,13606.75,13656.25,436157,0
2021-05-26,13670.25,13728.5,13656.0,13700.25,343069,0
2021-05-27,13702.5,13720.75,13620.25,13665.5,388603,0
2021-05-28,13694.75,13763.5,13662.75,13686.5,366218,0
2021-06-01,13699.0,13773.0,13592.25,13648.75,448000,0
2021-06-02,13653.25,13712.75,13603.25,13673.75,371449,0
2021-06-03,13679.5,13707.75,13462.25,13529.25,552987,0
2021-06-04,13531.75,13783.75,13467.75,13766.75,446994,0
2021-06-07,13773.25,13824.0,13691.5,13804.25,397545,0
2021-06-08,13823.0,13917.25,13741.75,13811.5,482546,0
2021-06-09,13813.0,13904.25,13803.5,13814.25,376893,0
2021-06-10,13817.0,13976.5,13726.0,13959.75,492336,0
2021-06-11,13975.5,13997.75,13932.25,13994.25,257733,0
2021-06-14,13999.0,14133.5,13965.25,14124.75,229733,0
2021-06-15,14119.5,14163.0,14009.25,14030.25,178164,0
2021-06-16,14046.75,14103.75,13840.0,13981.25,124322,0
2021-06-17,13948.5,14217.75,13850.25,14165.5,113875,0
2021-06-18,14183.75,14214.25,14063.5,14107.4296875,575363,0
2021-06-21,14022.75,14144.0,13958.5,14130.0,503663,0
2021-06-22,14136.75,14279.25,14066.5,14258.25,420968,0
2021-06-23,14274.0,14315.75,14231.75,14263.0,366489,0
2021-06-24,14275.25,14422.0,14270.0,14354.25,409864,0
2021-06-25,14365.75,14394.25,14313.25,14339.0,379758,0
2021-06-28,14350.0,14519.75,14333.25,14512.5,376860,0
2021-06-29,14504.5,14584.75,14468.75,14563.0,360169,0
2021-06-30,14584.75,14598.5,14518.25,14549.0,384458,0
2021-07-01,14558.5,14606.25,14471.0,14548.5,436419,0
2021-07-02,14543.75,14729.0,14513.25,14713.75,392168,0
2021-07-06,14704.25,14790.0,14625.25,14775.5,557682,0
2021-07-07,14764.5,14883.75,14726.25,14802.25,471450,0
2021-07-08,14812.0,14822.0,14540.5,14712.25,631207,0
2021-07-09,14710.25,14832.0,14640.75,14810.5,424770,0
2021-07-12,14824.0,14888.5,14785.0,14869.25,362608,0
2021-07-13,14880.0,14994.75,14794.5,14865.0,506392,0
2021-07-14,14869.75,14996.0,14841.25,14891.75,499191,0
2021-07-15,14895.0,14962.75,14708.25,14787.5,634785,0
2021-07-16,14778.5,14869.5,14656.0,14670.5,539012,0
2021-07-19,14675.0,14682.5,14445.0,14540.75,720291,0
2021-07-20,14593.75,14782.5,14516.75,14722.75,529359,0
2021-07-21,14729.75,14839.5,14668.25,14827.75,404345,0
2021-07-22,14836.75,14982.75,14826.75,14928.5,425426,0
2021-07-23,14979.5,15117.25,14934.25,15098.0,449261,0
2021-07-26,15098.0,15134.0,15038.75,15117.75,391517,0
2021-07-27,15125.25,15131.5,14774.25,14947.75,671793,0
2021-07-28,14875.75,15074.5,14866.0,15011.5,577186,0
2021-07-29,14984.75,15084.0,14905.0,15037.75,412593,0
2021-07-30,14905.25,14980.0,14811.25,14955.75,505630,0
2021-08-02,14972.75,15056.25,14932.25,14952.75,446142,0
2021-08-03,14962.25,15050.0,14849.0,15046.25,520377,0
2021-08-04,15038.0,15108.0,14997.0,15073.5,445703,0
2021-08-05,15081.75,15172.5,15069.25,15167.75,341554,0
2021-08-06,15167.75,15169.75,15047.25,15095.5,425074,0
2021-08-09,15090.25,15145.5,15003.25,15125.25,361388,0
2021-08-10,15128.75,15157.25,14994.5,15044.5,475298,0
2021-08-11,15045.0,15119.0,14963.0,15019.5,479700,0
2021-08-12,15008.5,15090.5,14941.25,15078.5,384239,0
2021-08-13,15079.75,15141.75,15055.25,15125.75,364520,0
2021-08-16,15119.25,15139.0,14917.25,15134.0,590789,0
2021-08-17,15131.5,15133.75,14897.0,14997.5,687897,0
2021-08-18,14970.25,15037.25,14806.5,14849.25,568846,0
2021-08-19,14840.0,14999.0,14710.5,14928.0,734184,0
2021-08-20,14943.25,15100.0,14851.0,15086.75,504460,0
2021-08-23,15090.0,15337.5,15086.5,15304.5,412591,0
2021-08-24,15327.0,15384.0,15309.5,15355.5,365577,0
2021-08-25,15362.25,15397.0,15333.0,15364.25,405227,0
2021-08-26,15367.25,15368.25,15255.25,15274.75,564382,0
2021-08-27,15286.0,15443.75,15265.5,15426.5,441045,0
2021-08-30,15432.75,15617.75,15420.0,15597.5,417563,0
2021-08-31,15605.5,15677.25,15517.75,15582.5,521129,0
2021-09-01,15599.5,15699.0,15578.5,15609.25,465488,0
2021-09-02,15610.0,15682.0,15551.75,15601.0,463636,0
2021-09-03,15601.0,15677.5,15552.25,15651.5,462870,0
2021-09-07,15656.0,15708.75,15606.75,15674.75,542055,0
2021-09-08,15671.0,15691.0,15523.75,15620.0,559402,0
2021-09-09,15610.0,15675.75,15545.75,15558.75,531288,0
2021-09-10,15561.0,15668.0,15433.5,15441.5,402816,0
2021-09-13,15452.5,15565.0,15350.25,15436.75,363283,0
2021-09-14,15452.25,15530.75,15351.25,15387.0,237816,0
2021-09-15,15395.5,15521.75,15315.25,15504.0,156770,0
2021-09-16,15516.5,15542.0,15369.5,15517.75,105428,0
2021-09-17,15502.75,15547.0,15474.0,15486.669921875,641864,0
2021-09-20,15284.0,15338.25,14807.5,15009.5,845911,0
2021-09-21,14992.0,15163.25,14963.25,15024.0,659780,0
2021-09-22,14992.75,15227.0,14930.5,15163.5,601005,0
2021-09-23,15178.25,15347.0,15175.25,15303.5,514535,0
2021-09-24,15300.25,15334.25,15176.75,15318.75,470511,0
2021-09-27,15319.0,15399.25,15084.0,15194.75,543381,0
2021-09-28,15172.25,15192.25,14740.75,14764.75,836785,0
2021-09-29,14769.25,14926.0,14711.0,14739.75,649554,0
2021-09-30,14769.75,14883.5,14670.25,14682.5,699372,0
2021-10-01,14702.25,14818.0,14537.0,14761.75,663413,0
2021-10-04,14785.0,14835.0,14367.75,14462.25,802849,0
2021-10-05,14493.75,14754.75,14410.5,14655.25,574640,0
2021-10-06,14662.0,14770.0,14422.5,14759.0,756883,0
2021-10-07,14768.0,15001.25,14767.0,14881.25,492756,0
2021-10-08,14891.25,14996.0,14790.75,14808.25,550607,0
2021-10-11,14810.25,14897.25,14677.0,14700.5,510490,0
2021-10-12,14688.5,14783.25,14585.5,14653.25,599367,0
2021-10-13,14594.0,14795.75,14591.0,14764.25,556059,0
2021-10-14,14770.25,15071.5,14767.5,15037.25,425055,0
2021-10-15,15063.75,15145.0,15020.75,15134.5,442893,0
2021-10-18,15145.0,15297.25,15038.75,15290.5,423424,0
2021-10-19,15289.75,15428.25,15269.0,15398.5,384792,0
2021-10-20,15411.0,15446.5,15319.0,15377.5,451735,0
2021-10-21,15357.5,15483.75,15301.0,15478.75,436644,0
2021-10-22,15383.0,15463.5,15273.75,15341.0,545390,0
2021-10-25,15324.25,15546.0,15295.75,15495.75,456009,0
2021-10-26,15543.0,15701.0,15503.0,15545.0,586099,0
2021-10-27,15532.25,15717.5,15507.25,15587.25,534474,0
2021-10-28,15595.0,15777.0,15591.75,15764.75,498210,0
2021-10-29,15679.75,15864.75,15595.5,15838.5,484693,0
2021-11-01,15885.25,15914.75,15768.5,15894.25,411507,0
2021-11-02,15891.0,15980.25,15849.5,15961.25,418550,0
2021-11-03,15957.75,16145.75,15935.25,16129.75,448135,0
2021-11-04,16129.5,16376.0,16129.5,16330.75,524361,0
2021-11-05,16335.0,16448.5,16292.0,16351.75,525824,0
2021-11-08,16293.0,16394.0,16256.0,16327.75,414326,0
2021-11-09,16315.5,16391.75,16160.0,16212.75,560749,0
2021-11-10,16201.25,16243.0,15896.5,15980.5,658266,0
2021-11-11,15989.0,16114.0,15976.0,16022.75,434778,0
2021-11-12,16043.75,16213.25,16001.75,16192.75,422493,0
2021-11-15,16212.25,16276.5,16082.25,16187.75,483873,0
2021-11-16,16198.5,16323.75,16142.0,16300.75,424380,0
